mukey,muname,musym,cokey,compname,comppct_r,drainagecl,hzname,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,cec7_r
2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",L138B,27362250,Storden,10,Well drained,Ap,0,20,2.5,7.7,0.18,18,51,13.7
2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",L138B,27362250,Storden,10,Well drained,Bk,20,140,0.5,7.5,0.18,21,42,15.4
2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",L138B,27362250,Storden,10,Well drained,C,140,200,0.25,8,0.18,15,49,10.7
2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",L138B,27362251,Nicollet,5,Somewhat poorly drained,Ap,0,20,6,6.2,0.21,26,31,22.5
2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",L138B,27362251,Nicollet,5,Somewhat poorly drained,A,20,38,4,6.2,0.21,26,31,22.2
2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",L138B,27362251,Nicollet,5,Somewhat poorly drained,Bg,38,74,1.25,6.6,0.18,26,36,21.2
2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",L138B,27362251,Nicollet,5,Somewhat poorly drained,C,74,200,0.25,8,0.18,15,49,10.7
2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",L138B,27362252,Clarion,85,Well drained,Ap,0,23,3.5,6.2,0.21,21,45,18.2
2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",L138B,27362252,Clarion,85,Well drained,A,23,35,2.5,6.2,0.18,21,45,18
2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",L138B,27362252,Clarion,85,Well drained,Bw,35,84,0.75,6.6,0.18,21,45,17.1
2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",L138B,27362252,Clarion,85,Well drained,C,84,200,0.25,8,0.18,15,49,10.7
2550303,"Zenor sandy loam, 2 to 5 percent slopes",828B,27362208,Zenor,95,Somewhat excessively drained,H1,0,30,2,6.5,0.11,12.5,67.9,17.5
2550303,"Zenor sandy loam, 2 to 5 percent slopes",828B,27362208,Zenor,95,Somewhat excessively drained,H2,30,84,0.5,7.3,0.1,16,43.8,17.5
2550303,"Zenor sandy loam, 2 to 5 percent slopes",828B,27362208,Zenor,95,Somewhat excessively drained,H3,84,152,0.5,8.2,0.02,5,79.2,6.5
2550303,"Zenor sandy loam, 2 to 5 percent slopes",828B,27362209,Storden,5,Well drained,H1,0,15,2.2,7.9,0.21,22.5,,17.5
2550303,"Zenor sandy loam, 2 to 5 percent slopes",828B,27362209,Storden,5,Well drained,H2,15,152,0.25,7.9,0.18,24,,12.5
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362333,Canisteo,10,Poorly drained,Ap,0,23,7,7.5,0.18,32,30,25
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362333,Canisteo,10,Poorly drained,A,23,41,5,7.7,0.18,32,32,25.5
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362333,Canisteo,10,Poorly drained,AB,41,51,3,7.7,0.18,32,32,25
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362333,Canisteo,10,Poorly drained,Bkg,51,91,1.5,8,0.17,27,39,17.6
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362333,Canisteo,10,Poorly drained,Cg,91,200,0.25,8,0.18,21,44,15
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362334,Blue Earth,85,Very poorly drained,Lpco,0,25,17.5,7.6,0.22,25,7,26.1
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362334,Blue Earth,85,Very poorly drained,Lco,25,173,17.5,7.6,0.22,25,7,26.1
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362334,Blue Earth,85,Very poorly drained,2Cg,173,200,0.25,7.6,0.19,28,9,19.9
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362335,Lemond,1,Poorly drained,Ap,0,25,7,7.8,0.21,15,50,12.1
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362335,Lemond,1,Poorly drained,A,25,46,5,7.8,0.14,15,55,12
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362335,Lemond,1,Poorly drained,Bg,46,74,1.5,7.8,0.13,10,65,7.9
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362335,Lemond,1,Poorly drained,2Cg,74,200,0.25,8,0.06,5,90,2.8
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362336,Harps,4,Poorly drained,Ap,0,20,7,7.5,0.18,32,30,23.5
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362336,Harps,4,Poorly drained,Ak,20,41,5,8,0.18,32,32,23.2
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362336,Harps,4,Poorly drained,Bkg,41,160,1.5,8,0.18,25,39,16.9
2550277,"Blue Earth mucky silt loam, 0 to 1 percent slopes",511,27362336,Harps,4,Poorly drained,Cg,160,200,0.25,8,0.18,21,44,14.3
2834849,"Nicollet loam, 1 to 3 percent slopes",L55,27362257,Nicollet,85,Somewhat poorly drained,Ap,0,20,6,6.2,0.21,26,31,22.5
2834849,"Nicollet loam, 1 to 3 percent slopes",L55,27362257,Nicollet,85,Somewhat poorly drained,A,20,38,4,6.2,0.21,26,31,22.2
2834849,"Nicollet loam, 1 to 3 percent slopes",L55,27362257,Nicollet,85,Somewhat poorly drained,Bg,38,74,1.25,6.6,0.18,26,36,21.2
2834849,"Nicollet loam, 1 to 3 percent slopes",L55,27362257,Nicollet,85,Somewhat poorly drained,C,74,200,0.25,8,0.18,15,49,10.7
2834849,"Nicollet loam, 1 to 3 percent slopes",L55,27362258,Clarion,10,Well drained,Ap,0,23,3.5,6.2,0.21,21,45,18.2
2834849,"Nicollet loam, 1 to 3 percent slopes",L55,27362258,Clarion,10,Well drained,A,23,35,2.5,6.2,0.18,21,45,18
2834849,"Nicollet loam, 1 to 3 percent slopes",L55,27362258,Clarion,10,Well drained,Bw,35,84,0.75,6.6,0.18,21,45,17.1
