mukey,hzname,hzdept_r (cm),hzdepb_r (cm),om_r (%),ph1to1h2o_r,awc_r (in/in),claytotal_r (%),sandtotal_r (%),cec7_r (meq/100g),comppct_r (%)
2550272,Ap,0.00,23.00,3.50,6.70,0.21,24.00,40.00,20.50,90.00
2550272,Ap,0.00,20.00,6.00,6.70,0.21,31.00,22.00,26.40,10.00
2550272,"A1,A2",20.00,81.00,4.50,6.70,0.21,31.00,19.00,26.10,10.00
2550272,A,23.00,112.00,2.50,6.70,0.18,24.00,40.00,20.30,90.00
2550272,AB,81.00,102.00,5.50,6.70,0.17,29.00,26.70,24.80,10.00
2550272,Bg1,102.00,112.00,1.50,6.70,0.15,22.00,30.00,18.40,10.00
2550272,C,112.00,200.00,0.25,7.00,0.18,20.00,50.00,15.70,90.00
2550272,Bg2,112.00,132.00,1.50,6.50,0.17,22.00,30.00,18.40,10.00
2550272,Cg,132.00,152.00,1.00,6.70,0.15,16.00,58.00,13.60,10.00
2550277,Lpco,0.00,25.00,17.50,7.60,0.22,25.00,7.00,26.10,85.00
2550277,Ap,0.00,23.00,7.00,7.50,0.18,32.00,30.00,25.00,10.00
2550277,Ap,0.00,20.00,7.00,7.50,0.18,32.00,30.00,23.50,4.00
2550277,Ap,0.00,25.00,7.00,7.80,0.21,15.00,50.00,12.10,1.00
2550277,Ak,20.00,41.00,5.00,8.00,0.18,32.00,32.00,23.20,4.00
2550277,A,23.00,41.00,5.00,7.70,0.18,32.00,32.00,25.50,10.00
2550277,Lco,25.00,173.00,17.50,7.60,0.22,25.00,7.00,26.10,85.00
2550277,A,25.00,46.00,5.00,7.80,0.14,15.00,55.00,12.00,1.00
2550277,AB,41.00,51.00,3.00,7.70,0.18,32.00,32.00,25.00,10.00
2550277,Bkg,41.00,160.00,1.50,8.00,0.18,25.00,39.00,16.90,4.00
2550277,Bg,46.00,74.00,1.50,7.80,0.13,10.00,65.00,7.90,1.00
2550277,Bkg,51.00,91.00,1.50,8.00,0.17,27.00,39.00,17.60,10.00
2550277,2Cg,74.00,200.00,0.25,8.00,0.06,5.00,90.00,2.80,1.00
2550277,Cg,91.00,200.00,0.25,8.00,0.18,21.00,44.00,15.00,10.00
2550277,Cg,160.00,200.00,0.25,8.00,0.18,21.00,44.00,14.30,4.00
2550277,2Cg,173.00,200.00,0.25,7.60,0.19,28.00,9.00,19.90,85.00
2550303,H1,0.00,30.00,2.00,6.50,0.11,12.50,67.90,17.50,95.00
2550303,H1,0.00,15.00,2.20,7.90,0.21,22.50,,17.50,5.00
2550303,H2,15.00,152.00,0.25,7.90,0.18,24.00,,12.50,5.00
2550303,H2,30.00,84.00,0.50,7.30,0.10,16.00,43.80,17.50,95.00
2550303,H3,84.00,152.00,0.50,8.20,0.02,5.00,79.20,6.50,95.00
2550305,H1,0.00,30.00,1.50,6.50,0.11,12.50,67.90,17.50,95.00
2550305,H1,0.00,15.00,2.20,7.90,0.21,22.50,,17.50,5.00
2550305,H2,15.00,152.00,0.25,7.90,0.18,24.00,,12.50,5.00
2550305,H2,30.00,84.00,0.50,7.30,0.10,16.00,43.80,17.50,95.00
2550305,H3,84.00,152.00,0.50,8.20,0.02,5.00,79.20,6.50,95.00
